Content,Label,Score
"As a lower-middle-income economy with a gross national income per capita of US$4,140 last year, Indonesia’s economy is dependent on its micro, small and medium enterprises (MSMEs).",POSITIVE,0.9903458952903748
About 98 per cent of these are micro-enterprises that are sensitive to even minor economic policy shifts.,POSITIVE,0.9967212080955505
"While it is still early days to see the full impact of the fuel price hike, enterprises across Indonesia are already bracing themselves for how it would hit them in the long run.",NEGATIVE,0.9965662956237793
"For many small companies, they have started to feel the pinch of the fuel price hike.",NEGATIVE,0.9907163977622986
"Arifin, who owns a car rental company in Timika, Central Papua told CNA: “Usually, I buy Pertalite for 250,000 rupiah per day but now I have to spend 350,000 rupiah.",NEGATIVE,0.9990065693855286
"“But if I increase the rental rates, the customers will say it’s expensive.”",NEGATIVE,0.987128496170044
"Thus, Arifin, who goes by one name, has decided not to raise prices for now.",POSITIVE,0.9917863011360168
"“My family and I have to tighten our belts for our daily needs. And for the car rental rates, we use the old rates so my customers don't switch to other car rentals,” he explained.",POSITIVE,0.9932222366333008
"Elsewhere, Rita Suryaningsih, who is an entrepreneur in Makassar, South Sulawesi said that the fuel price hike has affected her distribution costs.",NEGATIVE,0.9931322932243347
She owns a micro-business producing traditional ginger drinks and distributes her product by land to retailers.,POSITIVE,0.9982408285140991
"“Our courier usually uses a motorbike and used to spend 35,000 rupiah for fuel daily.  But now it has increased to 50,000 rupiah,” she said.",NEGATIVE,0.997081458568573
"With a profit of 10 million rupiah per month and four employees to take care of, she hopes her business will be able to weather the storm in the upcoming months.",POSITIVE,0.9976480603218079
"“Even if prices go up, hopefully we’ll be able to survive.”",POSITIVE,0.9985988736152649
Laundry owner Paniem in Jakarta is also concerned about higher transport costs.,NEGATIVE,0.9968295693397522
"“My daughter delivers the laundry to our customers. So there is an impact on our business, but what can we say?",NEGATIVE,0.9054903984069824
"“There’s nothing we can do. We are just ordinary folks,” said Paniem who goes by one name.",NEGATIVE,0.996737539768219
"For now, she is sticking to her regular rate of 8,000 rupiah per kg as she worries that raising the prices may drive her customers away.",NEGATIVE,0.9826582074165344
"There are also others who have yet to feel the full impact of the hike. However, their concern is that higher transport costs may lead to ballooning production costs as well as personal spending amid an uncertain economic climate.",NEGATIVE,0.9949640035629272
"Rina Hasibuan from Medan, North Sumatra, who sells homemade coffee drinks, worries that the fuel price increase will impact the cost of raw materials needed for her product as distribution cost rises.",NEGATIVE,0.9975178241729736
"“The higher the price of raw material, means my product will be pricier.",NEGATIVE,0.9932732582092285
"“While when the price gets higher, there are fewer customers,” said the 39-year-old.",NEGATIVE,0.986748218536377
"The single mother of two fears that the price of cooking gas, raw material for packaging and coffee beans will soon surge.",NEGATIVE,0.9940662384033203
"In Bali, single mother of three Nyoman Dewi usually sets aside 300,000 rupiah for Pertalite per week and is concerned she will now need to fork out more.",NEGATIVE,0.9981339573860168
She is dependent on her car to drive her three children to school as there is no public transport in their neighbourhood.,NEGATIVE,0.9720228910446167
Dewi runs several tutoring centres and she wonders if her pupils will continue to study there given the current economic situation.,NEGATIVE,0.988018274307251
She also is thinking of her nine employees who all use motorbikes to get to work.,POSITIVE,0.9975494742393494
"“Their salary is dependant on the total number of students we have so everything is related. The more students we have, the more salary they get,” she said, adding that she has not raised the tuition fee for two years amid the COVID-19 pandemic.",POSITIVE,0.9979332685470581
What do businesses need to do in order to weather the storm?,POSITIVE,0.9917077422142029
"Hermawati Setyorinny, the chairwoman of the Indonesian Micro, Small and Medium Enterprise Association, said that MSMEs have no other option but to adapt to the situation and try to survive.",POSITIVE,0.9975678324699402
"“We need to find strategies. There are those who are looking for solutions to replace cheaper alternative materials, reduce the quantity, or just accept that they will profit less.",NEGATIVE,0.9960799813270569
"“The last solution is to increase the price, even if it's a little bit,” she told CNA.",NEGATIVE,0.998234748840332
"Eddy Satria, a senior official in charge of micro-business with the Ministry of Cooperatives and Small Medium Enterprises said that his ministry has been asking its counterparts in the Ministry of Finance to distribute aid for micro-enterprises.",POSITIVE,0.9940220713615417
"“We proposed at that time for 12.8 million micro-businesses to receive 600,000 rupiah.",POSITIVE,0.9936071634292603
"“We are now waiting for it to help micro-businesses affected by the fuel price hike,” he said.",NEGATIVE,0.9983478784561157
